site,soc,bd,soc1,bd1,soc2,bd2,soc3,bd3,source,web,,
AU-Cpr,,1.6,,,,,,,"Sun et al.,2017",https://doi.org/10.1016/j.agee.2017.06.032,,
AU-Cpr,,0-30cm,,,,,,,,,,
AU-DaS,,1.39,,1.39,,,,,"Whitley et al.,2016",https://doi.org/10.5194/bg-13-3245-2016,,
AU-DaS,,0-20cm,,20-89cm,,,,,,,,
AU-Dry,,1.2,,1.39,,,,,"Whitley et al.,2016",https://doi.org/10.5194/bg-13-3245-2016,,
AU-Dry,,0-15cm,,15-144cm,,,,,,,,
AU-How,,1.33,,1.39,,1.41,,1.45,"Livesley et al.,2011",https://doi.org/10.1016/j.agrformet.2011.02.001,,
AU-How,,0-10cm,,10-20cm,,20-30cm,,40-50cm,,,,
AU-Stp,,1.39,,1.39,,,,,"Whitley et al.,2016",https://doi.org/10.5194/bg-13-3245-2016,,
AU-Stp,,0-20cm,,20-89cm,,,,,,,,
CH-Cha,,1,,,,,,,"Osterwalder et al.,2020",https://doi.org/10.5194/amt-13-2057-2020,,
CH-Cha,,0-10cm,,,,,,,,,,
CH-Fru,,1.35,,,,,,,"Rogger et al.,2022",https://doi.org/10.1016/j.agrformet.2021.108801,,
CH-Fru,,Na,,,,,,,,,,
CN-Du2,1.58,1.38,,,,,,,"Miao et al.,2009",https://doi.org/10.1016/j.agrformet.2009.06.011,ChinaFlux,http://www.chinaflux.org/
CN-Du2,0-10cm,0-20cm,,,,,,,,,,
CZ-wet,,0.37,,,,,,,"Káplová et al.,2011",https://doi.org/10.1007/s11258-010-9865-z,,
CZ-wet,,Na,,,,,,,,,,
DE-Geb,2.3,1.3,,,,,,,"Lehuger et al.,2010",https://doi.org/10.1016/j.agee.2010.06.011,,
DE-Geb,0-20cm,0-20cm,,,,,,,,,,
DE-Gri,,1.4,,1.7,,,,,"Hussain et al.,2011",https://doi.org/10.1016/j.agee.2011.02.013,,
DE-Gri,,0-23cm,,23-70cm,,,,,,,,
DE-Meh,1.81,1.21,,,,,,,"Don et al.,2009",https://doi.org/10.1111/j.1365-2486.2009.01873.x,,
DE-Meh,0-20cm,0-20cm,,,,,,,,,,
DE-SfN,49.7,0.15,,,,,,,"Hommeltenberg et al.,2014",https://doi.org/10.5194/bg-11-3477-2014,,
DE-SfN,0-20cm,0-20cm,,,,,,,,,,
ES-LMa,4.7,1.38,0.71,,,,,,"Lopez-Sangil et al.,2011",https://doi.org/10.1007/s00374-010-0510-8,,
ES-LMa,0-5cm,0-5cm,5-15cm,,,,,,,,,
FR-Gri,2,1.3,,,,,,,"Lehuger et al.,2010",https://doi.org/10.1016/j.agee.2010.06.011,,
FR-Gri,0-15cm,0-15cm,,,,,,,,,,
IE-Dri,5.9,1.17,,,,,,,"Byrne et al.,2005", https://doi.org/10.1016/j.agrformet.2005.10.005,,
IE-Dri,0-20cm,0-20cm,,,,,,,,,,
IT-Cpz,2.27,,,,,,,,"Moreno et al.,2001",https://doi.org/10.1016/S0038-0717(00)00189-9,,
IT-Cpz,0-10cm,,,,,,,,,,,
IT-Isp,9.4,0.6,6.3,0.8,2.8,1,1.9,1.1,"Ferréa et al.,2012",https://doi.org/10.1016/j.pedobi.2012.05.001,,
IT-Isp,0-7cm,0-7cm,7-24cm,7-24cm,24-38cm,24-38cm,38-70cm,38-70cm,,,,
IT-PT1,,1.12,,,,,,,"Migliavacca et al.,2009",https://doi.org/10.1016/j.agrformet.2009.04.003,,
IT-PT1,,0-40cm,,,,,,,,,,
NL-Ca1,5,,,,,,,,"Jacobs et al.,2007",https://doi.org/10.5194/bg-4-803-2007,,
NL-Ca1,0-20cm,,,,,,,,,,,
SD-Dem,0.11,,,,,,,,"Ardö et al.,2008",https://doi.org/10.1186/1750-0680-3-7,,
SD-Dem,Na,,,,,,,,,,,
US-ARM,,1,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-ARM,,5-25cm,,,,,,,,,,
US-Bo1,,1.4,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Bo1,,Na,,,,,,,,,,
US-Ho1,4.4,0.14,0.8,1,1.1,0.65,3,0.89,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Ho1,0-7.5cm,0-7.5cm,7.5-12.5cm,7.5-12.5cm,12.5-17.5cm,12.5-17.5cm,17.5-52.5cm,17.5-52.5cm,,,,
US-KS2,3,0.99,0.6,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-KS2,0-100cm,0-150cm,100-150cm,,,,,,,,,
US-Los,1.9,0.65,4.49,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Los,0-20cm,Na,0-40cm,,,,,,,,,
US-Me2,0.04,1.14,0.02,1.17,0.01,1.35,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me2,0-20cm,0-20cm,20-50cm,20-50cm,50-100cm,50-100cm,,,,,,
US-Me4,,1.05,,1.15,,1.23,,,"Law et al.,2001",https://doi.org/10.1046/j.1354-1013.2001.00439.x,,
US-Me4,,0-20cm,,20-50cm,,50-100cm,,,,,,
US-Me6,,1.31,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Me6,,7-13cm,,,,,,,,,,
US-MMS,,1.22,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-MMS,,0-0.1cm,,,,,,,,,,
US-MOz,,1.18,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-MOz,,0-5cm,,,,,,,,,,
US-Ne3,3.19,1.36,2.78,1.41,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Ne3,0-15cm,0-15cm,15-30cm,15-30cm,,,,,,,,
US-NR1,,1.48,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-NR1,,Na,,,,,,,,,,
US-SP2,0.8,1.21,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP2,10-100cm,10-150cm,,,,,,,,,,
US-SP3,0.8,1.21,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SP3,10-100cm,10-150cm,,,,,,,,,,
US-SRM,1.05,1.5,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-SRM,0-20cm,0-20cm,,,,,,,,,,
US-Syv,10.47,,,,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Syv,0-60cm,,,,,,,,,,,
US-Ton,,1.42,,1.57,,1.52,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Ton,,0-10cm,,10-20cm,,20-30cm,,,,,,
US-Var,1.39,1.43,1.39,1.43,0.14,1.43,0.14,1.43,"(Grant et al., 2012)",https://doi.org/10.1016/j.agrformet.2011.09.012,,
US-Var,0-10cm,0-10cm,10-35cm,10-35cm,35-50cm,35-50cm,50-75cm,50-75cm,,,,
US-WCr,10.7,1.55,,2.18,,2.53,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-WCr,0-30cm,0-1cm,,1-2cm,,2-4cm,,,,,,
US-Wkg,1,1.35,0.75,1.4,,,,,AmeriFlux BADM,https://ameriflux.lbl.gov/,,
US-Wkg,0-5cm,0-5cm,0-147cm,0-147cm,,,,,,,,
